"model","method","S","diff","alpha","volscl","optmized_value","convergence","C0","beta","q10_rh"
"conc_CSIRO-Mk3L-1-2","conc_temp",40.8212795457366,299.709305128959,0.750184198951814,2.91048110909464,0.100724724854556,0,NA,NA,NA
"conc_EC-EARTH","conc_temp",2.12763919706464,8.02287228662248e-10,1.95911728126558,0.561511275482055,0.193848938143378,0,NA,NA,NA
"conc_FGOALS-g2","conc_temp",1.72547222309903,3.77149372495066e-15,1.93514965429944,-0.0634222573042558,0.0555830627879415,0,NA,NA,NA
"conc_GFDL-CM3","conc_temp",3.10642236781114,0.384601738100536,2.22086372797922,0.768170299845018,0.107734682688669,0,NA,NA,NA
"conc_GFDL-ESM2G","conc_temp",1.50181507302403,0.0223043021792611,1.41088218594762,1.01207155355646,0.0638777765842169,0,NA,NA,NA
"conc_GISS-E2-H-CC","conc_temp",22.032476241408,203.029992799306,-0.813180352200167,4.66269420865639,0.0486708313458267,0,NA,NA,NA
"conc_GISS-E2-H","conc_temp",5.66422437330778,13.1822159193025,0.279732076919233,1.80283679876596,0.0662969609518345,0,NA,NA,NA
"conc_GISS-E2-R-CC","conc_temp",1.5602479286655,1.23469228703519e-14,1.16442652046665,0.627274851259797,0.0606449338424444,0,NA,NA,NA
"conc_GISS-E2-R","conc_temp",1.72901860747884,1.24035413463358e-13,1.349503773224,0.678268046287691,0.0542829796180838,0,NA,NA,NA
"conc_inmcm4","conc_temp",101.25029190837,242.825914877942,0.832310277662416,1.80225654046104,0.0466468962631526,0,NA,NA,NA
"conc_IPSL-CM5A-MR","conc_temp",4.50543510881271,3.31402376043542,1.098068867738,1.09516493933376,0.0811579995655396,0,NA,NA,NA
"conc_IPSL-CM5B-LR","conc_temp",1236.21793098329,252.689717448128,-0.441061623965219,4.50876935506721,0.0788299537131524,0,NA,NA,NA
"conc_MIROC-ESM-CHEM","conc_temp",4.63387675775057,1.9653157396669,1.72408506065626,0.790135952143417,0.0926580290309316,0,NA,NA,NA
"conc_MIROC-ESM","conc_temp",14.1180664168272,8.45520294574612,1.45449364190845,1.96297182568067,0.0763595205011298,0,NA,NA,NA
"conc_MIROC5","conc_temp",4.36917065614837,9.65835702826302,1.37643051462755,1.67468509866512,0.10098982795455,0,NA,NA,NA
"conc_MPI-ESM-LR","conc_temp",2.16550346949535,1.16327698649773e-12,1.57310800553578,0.439769368525703,0.138619517673043,0,NA,NA,NA
"conc_MPI-ESM-MR","conc_temp",2.07674759084728,2.08272624242635e-13,1.8206190290758,0.54736185718178,0.135652107194612,0,NA,NA,NA
"conc_MRI-CGCM3","conc_temp",3.77652080460118,11.2210005799896,1.71674276842976,1.36286484663567,0.0454205084345849,0,NA,NA,NA
"conc_NorESM1-ME","conc_temp",1.87512276641048,5.93324557909745e-12,1.96664476820883,0.112595848785689,0.0856813848932443,0,NA,NA,NA
