"driven","model","sym_method","S","alpha","volscl","optmized_value","convergence","diff","C0","q10_rh","beta"
"emiss","CESM1-BGC","emiss_carbon_penaltyQ10",5.37742951531876,-0.903740427741906,0.540982857800851,0.700306302281612,0,4.31556043103846,299.060937256468,1.79520997605495,1.16666888888889
"emiss","CESM1-BGC","emiss_carbon_penaltyQ10",6.08976931048795,-0.766201853964329,0.863963283435725,0.763220227161594,0,3.98822136131537,299.867727045764,1.78341670370585,1.33333444444444
"emiss","CESM1-BGC","emiss_carbon_penaltyQ10",6.54321646778795,-0.73971554190142,1.00626313806967,0.824312197281483,0,4.24967167074117,303.808119031332,1.79372646943245,1.5
"emiss","CESM1-BGC","emiss_carbon_penaltyQ10",2.29992688060315,-1.10447289426754,1.31159803491088,0.22731667789523,0,7.47962863505679,279.334608372887,1.75011069820481,1e-05
"emiss","GFDL-ESM2G","emiss_carbon_penaltyQ10",1.03596554658394,-3.08033138368713,2.28338571522074,0.226322224132534,0,130.889437280925,290.714908827468,1.75173047876657,0.166675555555556
"emiss","GFDL-ESM2G","emiss_carbon_penaltyQ10",1.32182438494488,-3.16994428806036,2.34371208230341,0.242555148356948,0,37.4993212408883,293.981519485409,1.75866439766198,0.333341111111111
"emiss","GFDL-ESM2G","emiss_carbon_penaltyQ10",1.50107789868896,-3.1132349172034,2.2745795006091,0.279110096074441,0,30.0465393588831,297.248515006886,1.76698542493517,0.500006666666667
"emiss","GFDL-ESM2G","emiss_carbon_penaltyQ10",1.57749725378656,-2.95156496927605,2.10396938281517,0.329308354173819,0,38.4288289645184,300.639993082513,1.77270586799355,0.666672222222222
"emiss","GFDL-ESM2G","emiss_carbon_penaltyQ10",1.54522829386332,-2.72291983430442,2.0172016155687,0.38714988220492,0,57.3048032024439,303.911003882816,1.77656169116983,0.833337777777778
"emiss","GFDL-ESM2G","emiss_carbon_penaltyQ10",-67.9725202471498,0.360303256946403,1.78653823224955,0.844043875202183,0,49.4911171793267,308.451725908871,1.75282686933913,1.16666888888889
"emiss","GFDL-ESM2G","emiss_carbon_penaltyQ10",-71.9749449586671,0.250104449676616,1.89524900743654,0.863279773134931,0,68.098172834685,309.476066385998,1.75079328247631,1.33333444444444
"emiss","GFDL-ESM2G","emiss_carbon_penaltyQ10",2.16158022254327,-2.8320147309035,2.0555872267978,0.426239137226421,0,16.9719495481327,301.613138790866,1.7517878178101,1.00000333333333
"emiss","GFDL-ESM2G","emiss_carbon_penaltyQ10",0.969146409574576,-2.97384796633201,2.43307926682278,0.245003531343451,0,111.975025883479,284.630998333323,1.735563738953,1e-05
"emiss","CanESM2","emiss_carbon",3.76308813343906,1.76825479743332,0.922231973335057,0.132653390688271,0,0.916162667873494,281.138400914777,1.0082873433262,0.01
"emiss","CanESM2","emiss_carbon",3.63246849093403,1.52131941113478,0.765621815353829,0.137153434041236,0,0.996405968843218,283.309527999368,2.6358517518118,0.166675555555556
"emiss","CanESM2","emiss_carbon",3.71103702587411,1.43254443896439,0.841273513631646,0.146876830250099,0,0.964277571332167,285.089145365272,5.24478824765001,0.333341111111111
"emiss","CanESM2","emiss_carbon",3.44722795135656,1.1216096798758,0.848193952290272,0.154854126844143,0,1.04880664714112,284.760782626268,9.56610309575834,0.500006666666667
"emiss","CanESM2","emiss_carbon",3.3983480292376,0.950304557476228,0.749893296458423,0.163825011341096,0,1.10598116914806,284.553017602911,16.29424005586,0.666672222222222
"emiss","CanESM2","emiss_carbon",3.38558644636103,0.94374875607622,0.75577266555387,0.164279877366754,0,1.1199377358499,284.696598464576,16.8461222833378,0.675555555555556
"emiss","CanESM2","emiss_carbon",3.39470185385094,0.82970626431616,0.717596020091498,0.172568520654625,0,1.1376370956032,285.263335546369,24.1882343809669,0.833337777777778
"emiss","CanESM2","emiss_carbon",3.20844455847545,0.628147531242159,0.693075048831903,0.186500922735728,0,1.20883850860751,285.22356073226,62.7363751049856,1.16666888888889
"emiss","CanESM2","emiss_carbon",3.11229291271106,0.503590450648336,0.672728245947869,0.193000317033502,0,1.28872587539067,286.023100731673,91.1147526872384,1.33333444444444
"emiss","CanESM2","emiss_carbon",3.01497700497133,0.41816131605277,0.642952980046401,0.196904230021001,0,1.36051734910684,284.553006317898,161.087650504904,1.5
"emiss","CanESM2","emiss_carbon",3.24637095095962,0.706646596394287,0.622688337150192,0.18021448646394,0,1.20672664002015,285.223556388344,41.9214104827601,1.00000333333333
"emiss","CanESM2","emiss_carbon",3.71304577919348,1.78457040915264,0.93397941884106,0.132992956296663,0,0.918056192580408,280.766690585733,0.956033410392851,1e-05
"emiss","CESM1-BGC","emiss_carbon",2.30799057118977,-1.09251962213131,1.31253916528917,0.339860076834716,0,7.44917018866614,279.317718495757,1.84388188342084,0.01
