"year","variable","ensemble","model","experiment","value","problem"
1925,"heatflux","r1i1p1","BNU-ESM","esmHistorical",0.816405961910884,NA
1926,"heatflux","r1i1p1","BNU-ESM","esmHistorical",1.12676554918289,NA
1927,"heatflux","r1i1p1","BNU-ESM","esmHistorical",0.900594472885132,NA
1928,"heatflux","r1i1p1","BNU-ESM","esmHistorical",0.375723838806152,NA
1929,"heatflux","r1i1p1","BNU-ESM","esmHistorical",0.370396216710409,NA
1930,"heatflux","r1i1p1","BNU-ESM","esmHistorical",0.842964192231496,NA
1931,"heatflux","r1i1p1","BNU-ESM","esmHistorical",0.930738310019175,NA
1932,"heatflux","r1i1p1","BNU-ESM","esmHistorical",0.478383173545202,NA
1933,"heatflux","r1i1p1","BNU-ESM","esmHistorical",0.767200628916422,NA
1934,"heatflux","r1i1p1","BNU-ESM","esmHistorical",1.07563799619675,NA
1935,"heatflux","r1i1p1","BNU-ESM","esmHistorical",1.24941162268321,NA
1936,"heatflux","r1i1p1","BNU-ESM","esmHistorical",0.817550619443258,NA
1937,"heatflux","r1i1p1","BNU-ESM","esmHistorical",1.01680900218586,NA
1938,"heatflux","r1i1p1","BNU-ESM","esmHistorical",0.972663720448812,NA
1939,"heatflux","r1i1p1","BNU-ESM","esmHistorical",0.81451423962911,NA
1940,"heatflux","r1i1p1","BNU-ESM","esmHistorical",0.323054512341817,NA
1941,"heatflux","r1i1p1","BNU-ESM","esmHistorical",1.45433604717255,NA
1942,"heatflux","r1i1p1","BNU-ESM","esmHistorical",1.13532868524392,NA
1943,"heatflux","r1i1p1","BNU-ESM","esmHistorical",0.875140448411306,NA
1944,"heatflux","r1i1p1","BNU-ESM","esmHistorical",1.15270431836446,NA
1945,"heatflux","r1i1p1","BNU-ESM","esmHistorical",0.806089123090108,NA
1946,"heatflux","r1i1p1","BNU-ESM","esmHistorical",1.04805203278859,NA
1947,"heatflux","r1i1p1","BNU-ESM","esmHistorical",0.93666527668635,NA
1948,"heatflux","r1i1p1","BNU-ESM","esmHistorical",0.861078480879466,NA
1949,"heatflux","r1i1p1","BNU-ESM","esmHistorical",1.1679360071818,NA
1950,"heatflux","r1i1p1","BNU-ESM","esmHistorical",0.609826544920603,NA
1951,"heatflux","r1i1p1","BNU-ESM","esmHistorical",0.673712452252706,NA
1952,"heatflux","r1i1p1","BNU-ESM","esmHistorical",0.883647918701172,NA
1953,"heatflux","r1i1p1","BNU-ESM","esmHistorical",0.997812330722809,NA
1954,"heatflux","r1i1p1","BNU-ESM","esmHistorical",1.65801419814428,NA
1955,"heatflux","r1i1p1","BNU-ESM","esmHistorical",0.749453544616699,NA
1956,"heatflux","r1i1p1","BNU-ESM","esmHistorical",1.60657767454783,NA
1957,"heatflux","r1i1p1","BNU-ESM","esmHistorical",1.41273991266886,NA
1958,"heatflux","r1i1p1","BNU-ESM","esmHistorical",0.830387651920319,NA
1959,"heatflux","r1i1p1","BNU-ESM","esmHistorical",0.769519746303558,NA
1960,"heatflux","r1i1p1","BNU-ESM","esmHistorical",0.918025622765223,NA
1961,"heatflux","r1i1p1","BNU-ESM","esmHistorical",0.957230746746063,NA
1962,"heatflux","r1i1p1","BNU-ESM","esmHistorical",1.00747221708298,NA
1963,"heatflux","r1i1p1","BNU-ESM","esmHistorical",-0.921608209609985,NA
1964,"heatflux","r1i1p1","BNU-ESM","esmHistorical",-0.139383176962535,NA
1965,"heatflux","r1i1p1","BNU-ESM","esmHistorical",0.952584942181905,NA
